canonical_name,df_type,df_subtype,padloc_system,source,df_genome_count,padloc_genome_count,notes
adf_acrif14,Anti_CRISPR,acrif14,,df_antidefense,2,0,antidefense_system
adf_acrif23,Anti_CRISPR,acrif23,,df_antidefense,2,0,antidefense_system
adf_acrif24,Anti_CRISPR,acrif24,,df_antidefense,2,0,antidefense_system
adf_acrif2_c2,Anti_CRISPR,acrif2_c2,,df_antidefense,3,0,antidefense_system
adf_acrif3,Anti_CRISPR,acrif3,,df_antidefense,29,0,antidefense_system
adf_acrif4,Anti_CRISPR,acrif4,,df_antidefense,8,0,antidefense_system
adf_acrif5,Anti_CRISPR,acrif5,,df_antidefense,18,0,antidefense_system
adf_acrif6,Anti_CRISPR,acrif6,,df_antidefense,3,0,antidefense_system
adf_acrif7,Anti_CRISPR,acrif7,,df_antidefense,5,0,antidefense_system
adf_acriia21,Anti_CRISPR,acriia21,,df_antidefense,393,0,antidefense_system
adf_apyc1,Anti_Pycsar,apyc1,,df_antidefense,152,0,antidefense_system
adf_arda_ardu,Anti_RM,arda_ardu,,df_antidefense,418,0,antidefense_system
adf_ardb_klca_acric11,Anti_RM,ardb_klca_acric11,,df_antidefense,541,0,antidefense_system
adf_ardc,Anti_RM,ardc,,df_antidefense,163,0,antidefense_system
adf_ardk,Anti_RM,ardk,,df_antidefense,37,0,antidefense_system
adf_ardr,Anti_RM,ardr,,df_antidefense,20,0,antidefense_system
adf_dam,Anti_RM,dam,,df_antidefense,8,0,antidefense_system
adf_lar,Anti_RM,lar,,df_antidefense,5,0,antidefense_system
adf_mom,Anti_RM,mom,,df_antidefense,1,0,antidefense_system
adf_psiab,Other,psiab,,df_antidefense,233,0,antidefense_system
adf_rad,Anti_Retron,rad,,df_antidefense,7,0,antidefense_system
adf_ral,Anti_RM,ral,,df_antidefense,1,0,antidefense_system
adf_rexb,Anti_TA,rexb,,df_antidefense,2,0,antidefense_system
adf_tad1,Anti_Thoeris,tad1,,df_antidefense,90,0,antidefense_system
adf_tad2_acriia7,Anti_Thoeris,tad2_acriia7,,df_antidefense,14,0,antidefense_system
adf_vcrx089_090,Anti_RM,vcrx089_090,,df_antidefense,19,0,antidefense_system
adf_vcrx091_093,Anti_CRISPR,vcrx091_093,,df_antidefense,27,0,antidefense_system
